Category,Title,Original Link,Description,Publication Date
주식,"국민연금, 비트코인 최다 보유 기업 주식 매입…460억 원 규모",https://news.tvchosun.com/site/data/html_dir/2024/08/17/2024081790017.html,마이크로스트레티지 주식 약 3400만 달러(460억 원) 상당을 매입했다고 보도했다. 마이크로스트래티지는... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만4500주를... ,"Sat, 17 Aug 2024 11:21:00 +0900"
주식,국민연금이 460억 샀다...비트코인 대신 주식,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202408170251&t=NN,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 비트코인을 가장 많이... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할을 하기 전에 평균 1천377.48달러에 2만4천500주를... ,"Sat, 17 Aug 2024 07:03:00 +0900"
주식,"국민연금, 가상화폐 간접 투자… 美 비트코인 최다 보유 기업 주식 매입",https://biz.chosun.com/international/international_economy/2024/08/17/JDIT2LDAJBBTTPHPED53JUYGEE/?utm_source=naver&utm_medium=original&utm_campaign=biz,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 비트코인을 가장 많이... 국민연금은 이달 초 마이크로스트래티지가 1대 10으로 주식을 분할하기 전에 2만4500주를 평균 1377.48달러에... ,"Sat, 17 Aug 2024 09:40:00 +0900"
주식,"국민연금, 코인 간접 투자...비트코인 최다 보유 美기업 주식 매입",http://www.fnnews.com/news/202408171033168529,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만4500주를 매입했다.... ,"Sat, 17 Aug 2024 10:44:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美마이크로스트래티지 주식 460억 원 규모 매입",https://www.nocutnews.co.kr/news/6197046?utm_source=naver&utm_medium=article&utm_campaign=20240817090420,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을 보유한 회사다. 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만... ,"Sat, 17 Aug 2024 09:05:00 +0900"
주식,"'임성근 구명 로비 의혹 단톡방 언급' 삼부토건, 주식매매 정지",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12210771,지난달 초 우크라이나 재건 테마주로 주목받으며 주가조작 의혹이 제기된 삼부토건이 오늘(16일) 한국거래소에서 관리종목으로 지정되며 주식 매매가 정지됐습니다. 삼일회계법인은 지난 14일 삼부토건의 올해 상반기... ,"Fri, 16 Aug 2024 21:39:00 +0900"
주식,"""라오스 가면 월 1000만원 번다""…감금·주식 투자사기 일당 징역형",http://news.mt.co.kr/mtview.php?no=2024081713424061376,"이들은 감금한 한국인을 통해 주식 리딩투자, 연애 빙자 사기인 로맨스 스캠 등의 사기범죄를 하도록... 스캠과 주식 리딩투자 등 사기범행을 하도록 한 혐의를 받았다. 이들은 대구와 경남 창원에서 경제적 어려움을... ","Sat, 17 Aug 2024 13:44:00 +0900"
주식,"국민연금, 비트코인 최다 보유 미국 기업 주식 매입",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20240817.99099004534,국민연금이 비트코인을 가장 많이 보유한 회사 주식을 매입하며 가상화폐에 대한 간접 투자를... 마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을 보유한... ,"Sat, 17 Aug 2024 08:00:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美 기업 주식 460억원 규모 매입",https://www.yna.co.kr/view/AKR20240817006300091?input=1195m,가상화폐 간접투자 확대…작년엔 코인베이스 주식 사들여 수백억원 이익 김태종 특파원 = 국민연금이... 마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을 보유한... ,"Sat, 17 Aug 2024 06:34:00 +0900"
주식,"국민연금, 비트코인 간접 투자 확대…""美기업 주식 460억원어치 사들여""",https://www.sisajournal.com/news/articleView.html?idxno=306070,가장 많은 비트코인 보유한 마이크로스트래티지 주식 매입 국민연금이 가상화폐에 대한 간접 투자를... 마이크로스트래티지 주식을 매입했다고 보도했다. 국민연금은 마이크로스트래티지가 이달 초 1대 10의... ,"Sat, 17 Aug 2024 09:37:00 +0900"
주식,"삼부토건, 감사의견 거절로 주식 거래 중지… ‘관리종목’ 지정",http://www.segye.com/newsView/20240816516787?OutUrl=naver,삼부토건이 회계감사인으로부터 반기 검토 의견 거절을 받으면서 주식 거래가 중지됐다. 한국거래소는 16일 삼부토건을 관리종목으로 지정하고 주식 매매를 정지했다. 삼부토건 제공 앞서 삼부토건은 지난 14일... ,"Fri, 16 Aug 2024 19:44:00 +0900"
주식,"국민연금, 美 비트코인 최다 보유 기업 주식 매입···460억원 규모",http://news.tf.co.kr/read/economy/2125574.htm,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만4500주를... ,"Sat, 17 Aug 2024 16:54:00 +0900"
주식,“워런 버핏이 샀다매?”…국내증시 화장품 주식 급등,https://www.busan.com/view/busan/view.php?code=2024081616350138131,워런 버핏이 이끄는 버크셔 해서웨이가 애플 보유 지분을 대폭 줄이고 대신 화장품 업체 주식을 산 것으로 알려지자 국내에서 화장품 주식이 급등했다. 15일 블룸버그·로이터통신 등에 따르면 버크셔는 증시 마감... ,"Fri, 16 Aug 2024 16:44:00 +0900"
