Category,Title,Original Link,Description,Publication Date,Content
애플,"애플, '아이폰16' 다음 달 10일 공개 유력",http://news.tf.co.kr/read/economy/2127716.htm,한국 1차 출시국 포함될까 애플이 신형 '아이폰'을 다음 달 10일 공개할 것으로 예상된다. 26일 스마트폰 업계에 따르면 애플은 다음 달 10일 '아이폰16' 시리즈와 웨어러블 기기를 공개하는 행사를 개최할 예정이다. 공식... ,"Mon, 26 Aug 2024 09:04:00 +0900","애플, '아이폰16' 다음 달 10일 공개 유력
입력: 2024.08.26 09:03 / 수정: 2024.08.26 09:03
애플이 '아이폰16' 시리즈와 애플워치 등 신제품을 다음 달 10일 공개할 것으로 예상된다. 사진은 지난해 출시된 '아이폰15' 시리즈. /최문정 기자
[더팩트ㅣ이성락 기자] 애플이 신형 '아이폰'을 다음 달 10일 공개할 것으로 예상된다.
26일 스마트폰 업계에 따르면 애플은 다음 달 10일 '아이폰16' 시리즈와 웨어러블 기기를 공개하는 행사를 개최할 예정이다. 공식 판매일은 열흘 뒤인 20일로 점쳐진다.
앞서 블룸버그통신은 이러한 행사 일정을 언급하며 신제품의 주요 성능을 소개했다. '아이폰16' 시리즈는 큰 틀에서 전작과 비슷한 가운데 고급 모델인 프로의 화면이 더 커지고, 인공지능(AI)인 인텔리전스가 탑재될 전망이다. 다만 인텔리전스 기능 대부분이 지난 6월 세계개발자회의(WWDC)를 통해 이미 공개된 데다, 이 기능도 '아이폰16' 공개 시점인 9월이 아닌 10월부터 사용할 수 있을 것이라고 블룸버그는 예상했다.
함께 공개되는 '애플워치' 신제품은 화면이 커지고 더 얇아질 것으로 관측된다. 에어팟 신제품은 저가·중급형 모델로 개편돼 출시될 전망이다.
한편, 한국이 1차 출시국에 포함될 수 있다는 예상이 나온다. 2009년 애플의 국내 진출 후 처음이다. 그동안 대체로 3차 출시국으로 분류됐고, 국내 소비자들은 한 달가량 늦게 제품을 구매할 수 있었다. 애플이 한국을 1차 출시국에 포함한 것은 AI 스마트폰 시장을 선점한 삼성전자를 겨냥한 조치라는 해석이다.
rocky@tf.co.kr"
애플,"애플, 다음 먹거리는 로봇공학?",https://view.asiae.co.kr/article/2024082610105089152,"자율주행 전기차 프로젝트를 포기한 애플이 ‘새로운 먹거리’를 위해 로봇공학 제품 개발을 추진하고 있다는 보도가 나왔다. 블룸버그통신은 25일(현지시간) ""애플의 자율주행차 프로젝트는 실패했지만 ‘스스로... ","Mon, 26 Aug 2024 10:51:00 +0900","자율주행 전기차 실패했지만
'스스로 움직이는 애플 제품' 여전히 목표
자율주행 전기차 프로젝트를 포기한 애플이 ‘새로운 먹거리’를 위해 로봇공학 제품 개발을 추진하고 있다는 보도가 나왔다.
블룸버그통신은 25일(현지시간) ""애플의 자율주행차 프로젝트는 실패했지만 ‘스스로 움직이는 애플 제품’에 대한 비전은 여전히 유효하다""며 ""2026~2027년께 애플이 로봇공학 제품을 출시할 가능성이 높다""고 보도했다. 소식통은 애플이 로봇공학 제품 출시 후 10년 이내에 모바일 로봇과 휴머노이드 모델도 선보일 예정이라고 설명했다.
앞서 블룸버그는 지난 4월에도 소식통을 인용해 애플의 엔지니어들이 탁상용 스마트 디스플레이 개발과 더불어 집에서 이용자를 따라다니는 모바일 로봇 개발 프로젝트를 비밀리에 추진하고 있다고 보도한 바 있다.
현재 애플은 자사 제품이 스스로 움직이면서 어떤 새로운 경험을 만들어낼 수 있을 것인지에 초점을 맞추고 있다. 그간 아이폰, 아이패드, 맥 등을 통해 소비자들의 삶에 깊게 녹아드는 데는 성공했지만, 내부적으론 이를 넘어선 혁신에 목말라 있었다는 평가다. 이 과정에서 연초 자율주행 전기차 프로젝트가 중단됐고, 수백 명의 자율주행 및 로봇 시스템 엔지니어들이 유휴 인력이 되자 지금이 로봇 공학 제품을 개발하기 위한 최적의 시기라는 목소리가 조직 내부에서 나온 것으로 전해졌다.
블룸버그는 ""해당 프로젝트가 2020년 시작됐다""며 ""코드명 J595인 애플의 초기 로봇 공학 모델은 아이패드와 유사한 디스플레이에 로봇팔을 결합한 형태의 테이블톱 제품이 될 것""이라고 설명했다. 로봇팔을 통해 이용자 대신 간단한 웹 검색을 하거나 스크린을 움직이는가 하면 화상회의를 준비하는 것도 가능해진다. 애플의 인공지능(AI) 시스템인 ‘애플 인텔리전스’도 탑재될 전망이다.
애플의 로봇공학 제품 개발은 케빈 린치 기술 부문 부사장이 이끌고 있으며, 세계 각지의 로봇 전문가들이 이 프로젝트에 합류하고 있는 것으로 확인됐다. 블룸버그는 ""현재 애플은 스마트홈 시장에서 아마존과 구글에 뒤처져 있다""며 ""로봇 공학 제품이 성공할 경우 애플이 스마트 홈 시장에 안착하는 데 도움이 될 것""이라고 짚었다.
김진영 기자 camp@asiae.co.kr
<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
애플,"애플, 아이폰16 출시 전 긴급회의…왜?",https://zdnet.co.kr/view/?no=20240826081614,애플의 인공지능(AI) 플랫폼인 '애플 인텔리전스'가 오는 9월 10일(이하 현지시간) 공개될 것으로 전망되는 아이폰16 시리즈의 핵심 홍보 포인트가 될 것이라는 전망이 나왔다. IT매체 폰아레나는 25일(현지시간) 블룸버그... ,"Mon, 26 Aug 2024 08:54:00 +0900","애플의 인공지능(AI) 플랫폼인 '애플 인텔리전스'가 오는 9월 10일(이하 현지시간) 공개될 것으로 전망되는 아이폰16 시리즈의 핵심 홍보 포인트가 될 것이라는 전망이 나왔다.
IT매체 폰아레나는 25일(현지시간) 블룸버그 통신 마크 거먼의 엑스를 인용해 이와 같이 보도했다.
사진=애플
마크 거먼은 “애플이 올 가을 매장에서 애플 인텔리전스를 아이폰 판매 홍보의 핵심 요소로 삼을 계획이며, 매장 직원들을 대상으로 해당 기능에 대한 교육을 시작했다”고 엑스를 통해 밝혔다.
그는 “애플이 9월 12일 저녁이나 13일 오전 모든 애플 매장 직원들을 대상으로 의무 회의를 개최할 예정""이라면서 ""이는 상당히 이례적인 일이다""고 밝혔다.
그는 ""이번 회의는 일주일 후 아이폰16 출시에 앞서 진행되는 것""이라면서도 ""제품 출시 전 회의는 일반적으로 주중이 아닌 일요일에 열렸던 것을 감안하면 특이한 일이다""고 설명했다.
마크 거먼은 출시 전 회의가 앞당겨진 이유에 대해 자세히 설명하지 않았다. 폰아레나는 이에 대해 애플이 매장 직원들에게 애플 인텔리전스 기능에 익숙해질 수 있는 충분한 시간을 주고 싶어하는 것으로 보인다고 전했다.
관련기사
올해 출시될 예정인 아이폰16 시리즈의 모형 사진 (사진=소니 딕슨 엑스@SonnyDickson)
애플 인텔리전스는 아이폰16와 함께 출시되지 않으며, 오는 10월 출시가 전망되고 있으며, 전체 기능 출시는 2025년 상반기까지 완료되지 않을 것으로 알려졌다. 일부 기능은 현재 베타 버전으로 제공되고 있는데, 아주 새로운 기능은 아니지만 더 많은 기능이 업데이트되면서 상황이 바뀔 수도 있다고 해당 매체는 전했다.
애플 인텔리전스에서는 중요한 알림의 우선순위를 지정해주고 웹 페이지나 음성 메모를 요약해 주는 기능, 통화 녹음 기능 등 다양한 기능들이 추가될 예정이다."
애플,"애플, 아이폰16 등 신제품 내달 10일 발표 전망",https://www.yna.co.kr/view/AKR20240824011100091?input=1195m,김태종 특파원 = 애플이 내달 10일 아이폰16 등 신제품을 발표할 것으로 보인다고 블룸버그 통신이 23일... 매년 9월 또는 10월에 본사인 애플 파크에서 최신 아이폰 등을 공개해 온 애플은 최근에는 회계연도 4분기(7... ,"Sat, 24 Aug 2024 07:55:00 +0900","애플 로고 [로이터 연합뉴스 자료사진. 재판매 및 DB 금지]
(샌프란시스코=연합뉴스) 김태종 특파원 = 애플이 내달 10일 아이폰16 등 신제품을 발표할 것으로 보인다고 블룸버그 통신이 23일(현지시간) 보도했다.
아직 공식적인 일정은 발표되지 않은 가운데 소식통은 9월 10일 제품 공개 행사를 위해 준비하고 있다고 전했다.
매년 9월 또는 10월에 본사인 애플 파크에서 최신 아이폰 등을 공개해 온 애플은 최근에는 회계연도 4분기(7∼9월)인 마지막 달인 9월에 주로 발표를 해왔다.
9월 10일 신제품이 공개되면 10일 후인 20일부터 미국을 시작으로 전 세계에 신제품이 판매돼 회계연도 4분기에 신제품 매출이 반영된다.
이번에 선보이는 제품은 아이폰16과 애플워치10, 에어팟 등이다.
아이폰16은 고급 모델인 프로의 스크린이 더 커지고 사진 촬영 전용 버튼 등 새로운 카메라 기능이 추가될 것으로 예상된다. 특히, 애플 인텔리전스라는 자체 인공지능(AI) 기능이 탑재된다.
다만, 디자인은 전반적으로 작년 모델과 크게 다르지 않을 것이라고 블룸버그 통신은 전망했다.
웨어러블 기기는 더 많은 변화가 예상된다.
출시 10주년을 맞는 애플워치 시리즈는 더 얇아지면서 스크린은 더 커진다.
에어팟은 새로운 보급형과 중간급 모델로 개편된다. 중간급 모델에는 소음 제거 기능이 접목되고 보급형 모델은 2019년 이후 처음으로 업데이트가 이뤄질 것으로 예상된다.
애플은 이번 신제품 발표 후 한 달 뒤인 10월께는 자사의 최신 칩인 M4 프로세서를 탑재한 새로운 PC 시리즈 맥(Mac)을 선보일 것이라고 통신은 전했다.
taejong75@yna.co.kr
제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
애플,"애플, 아이폰16 등 신제품 9월 10일 발표 유력",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00008&news_seq_no=5052006,애플이 내달 10일 아이폰16 등 신제품을 발표할 것으로 보인다고 블룸버그 통신이 23일(현지시간)... 매년 9월 또는 10월에 본사인 애플 파크에서 최신 아이폰 등을 공개해 온 애플. 최근에는 회계연도 4분기(7∼9월)인... ,"Sat, 24 Aug 2024 14:21:00 +0900","↑ 애플 로고/사진=연합뉴스
애플이 내달 10일 아이폰16 등 신제품을 발표할 것으로 보인다고 블룸버그 통신이 23일(현지시간) 보도했습니다. 아직 공식적인 일정은 발표되지 않았지만, 소식통은 9월 10일 제품 공개 행사를 위해 준비하고 있다고 전했습니다.매년 9월 또는 10월에 본사인 애플 파크에서 최신 아이폰 등을 공개해 온 애플. 최근에는 회계연도 4분기(7∼9월)인 마지막 달, 9월에 주로 발표를 해왔습니다.9월 10일 신제품이 공개되면 10일 후인 20일부터 미국을 시작으로 전 세계에 신제품이 판매돼 회계연도 4분기에 신제품 매출이 반영됩니다.이번에 선보이는 제품은 아이폰16과 애플워치 10, 에어팟 등입니다.아이폰16은 고급 모델인 프로의 스크린이 더 커지고 사진 촬영 전용 버튼 등 새로운 카메라 기능이 추가될 것으로 예상되는 가운데, 애플 인텔리전스라는 자체 인공지능(AI) 기능 탑재가 가장 주목받고 있습니다. 다만, 디자인은 전반적으로 작년 모델과 크게 다르지 않을 것이라고 블룸버그 통신은 전망했습니다.웨어러블 기기는 더 많은 변화가 예상됩니다.출시 10주년을 맞는 애플워치 시리즈는 더 얇아지면서 스크린은 더욱 커집니다.에어팟은 새로운 보급형과 중간급 모델로 개편됩니다. 중간급 모델에는 소음 제거 기능(노이즈 캔슬링)이접목되고, 보급형 모델은 2019년 이후 처음으로 업데이트가 이뤄질 것으로 예상됩니다.한편, 나인투파이브맥 등 애플 관련 외신에 따르면 애플이 한국을 1차 출시 국가에 사상 처음으로 포함했습니다. 이로써 애플은 오랜 라이벌인 삼성전자와 스마트폰 판매 경쟁을 가속화할 것으로 보입니다.[김경태 디지털뉴스부 인턴기자 dragonmoon2021@naver.com]"
애플,"“메타, 프리미엄 혼합현실 헤드셋 개발 중단…애플 비전프로 판매 부진...",https://biz.chosun.com/it-science/ict/2024/08/26/6HVMUUSFLRDL3GJMOP5ZM3CRU4/?utm_source=naver&utm_medium=original&utm_campaign=biz,"메타의 이 헤드셋은 애플이 지난 2월 출시한 MR 헤드셋을 겨냥한 것이었다. 애플 비전 프로에 장착된 마이크로 유기발광다이오드(OLED)를 탑재하고, 2027년 출시를 목표로 했다. 메타의 프리미엄급 MR 헤드셋 개발... ","Mon, 26 Aug 2024 12:05:00 +0900",
애플,"레이 달리오, 애플·구글 팔고 아마존·MS 샀다",https://www.hankyung.com/article/2024082541811,‘헤지펀드 대부’ 레이 달리오(사진)가 설립한 브리지워터어소시에이츠가 엔비디아·애플·구글... 2분기에 애플 주식을 2억8914만달러(약 3386억원)어치 매도했다. 2분기 최다 매도 주식이다. 애플 비중은 기존 1.... ,"Sun, 25 Aug 2024 17:52:00 +0900","브리지워터소시에이츠
주식 보유 현황 변화
엑슨모빌 비중 늘리고
카메코는 첫 편입
‘헤지펀드 대부’ 레이 달리오(사진)가 설립한 브리지워터어소시에이츠가 엔비디아 애플 ·구글 주식은 일부 매도하고 아마존· 마이크로소프트 (MS) 주식 비중을 늘렸다. 지난 분기 테슬라를 제외한 매그니피센트7(M7) 주식을 모두 매수한 것과 달리 이번 분기에는 적정 가치에 맞게 ‘키 맞추기’를 한 것으로 해석된다.25일 세계 최대 헤지펀드 브리지워터가 미국 증권거래위원회(SEC)에 제출한 주식 보유 현황 공시에 따르면 이 회사는 올 2분기에 애플 주식을 2억8914만달러(약 3386억원)어치 매도했다. 2분기 최다 매도 주식이다. 애플 비중은 기존 1.62%에서 0.5%로 줄었다. 알파벳(구글 모회사)도 약 1억5092만달러(약 2018억원)어치 정리해 비중을 4.32%에서 4.1%로 축소했다. 엔비디아는 6050만달러(약 809억원)어치 매도했지만 주가 상승으로 포트폴리오에서 차지하는 비중은 3.22%에서 4.23%로 상승했다. 메타는 1595만달러어치가량 매도했다.비만치료제 젭바운드로 잘 알려진 일라이릴리 주식이 애플에 이어 매도 주식 2위를 기록했다. 1억6717만달러(약 2233억원) 규모다. 미국 드러그스토어 체인점인 CVS헬스(7152만달러)와 커피 전문점 스타벅스 (4532만달러)가 뒤를 이었다. 반도체기업 인텔 주식은 완전히 처분했다.최다 매수 주식은 아마존과 MS였다. 각각 3억875만달러(약 4128억원), 2억2831만달러(약 3052억원)어치 매수했다. 아마존 비중은 이전 0.96%에서 2.67%로 급증해 단숨에 보유 주식 6위에 올랐다. MS 비중은 1.23%에서 2.54%로 증가해 아마존 다음 최다 보유 주식으로 집계됐다.또 브리지워터는 석유기업인 엑슨모빌 주식을 1억8348만달러어치 매수해 비중을 0.09%에서 0.57%로 늘렸다. 캐나다 우라늄 채굴기업 카메코 (1억173만달러)도 처음으로 포트폴리오에 편입했다.2분기 기준 브리지워터의 최다 보유 종목은 S&P500 지수를 추종하는 아이셰어즈 S&P500 상장지수펀드(ETF)다. 신흥국 지수를 추종하는 아이셰어즈코어MSCI이머징마켓 ETF가 그 뒤를 이었다. 각각 전체 포트폴리오에서 6%, 5.22%를 차지했다.김인엽 기자 inside@hankyung.com"
애플,"""애플, 아이폰16 내달 10일 공개 가능성""",http://www.fnnews.com/news/202408241014536556,"애플이 내달 제품 공개 행사를 열고 아이폰16 시리즈를 비롯해 애플워치, 에어팟 신제품을 공개할 것이라고 외신들이 23일(현지시간) 보도했다. 한 외신은 23일(현지시간) 소식통을 인용해 애플이 오는 9월10일 제품 공개... ","Sat, 24 Aug 2024 10:29:00 +0900","애플이 오는 9월10일 제품 공개 행사를 위한 준비
[파이낸셜뉴스]애플이 내달 제품 공개 행사를 열고 아이폰16 시리즈를 비롯해 애플워치, 에어팟 신제품을 공개할 것이라고 외신들이 23일(현지시간) 보도했다.한 외신은 23일(현지시간) 소식통을 인용해 애플이 오는 9월10일 제품 공개 행사를 위한 준비에 나섰다고 밝혔다. 출시는 20일이 될 것으로 전망됐다.아이폰16의 경우, 프로 모델에 더 큰 화면과 사진 촬영을 위한 전용 버튼 등 새로운 카메라 기능을 갖추고 있으며, ‘애플 인텔리전스’라는 인공지능(AI) 도구 모음을 출시할 예정이다. 애플워치의 경우 두께는 더 얇아지지만 화면은 더 커질 것으로 예상됐다.무선 이어폰 에어팟 라인업은 저가형, 중급형의 새로운 2개 모델을 도입할 전망이다.한편 애플은 올해 말 맥 제품에 M4 프로세서를 도입하는 작업을 시작할 예정이다.일반적으로 맥 업데이트는 아이폰 출시 후 약 한 달 뒤에 이뤄진다.이는 M4 칩의 기본 버전이 탑재된 모델로, 맥 3개 제품은 CPU에 총 10개의 코어가 있는 반면, 저가형 버전 중 하나는 8개의 코어를 포함된 것으로 확인됐다.애플은 올해 말에 더 작은 맥 미니, 새 맥북 프로, M4 칩을 탑재한 업데이트된 아이맥을 출시한 예정이다.
※ 저작권자 ⓒ 파이낸셜뉴스, 무단전재-재배포 금지"
애플,"메타, MR 헤드셋 개발 중단…애플 비전 프로 부진 영향",https://biz.sbs.co.kr/article_hub/20000188460?division=NAVER,"메타의 이 헤드셋은 애플이 지난 2월 출시한 MR 헤드셋을 겨냥한 것이었습니다. 애플 비전 프로에 장착된 마이크로 유기발광다이오드(OLED)를 탑재하고, 오는 2027년 출시를 목표로 했습니다. 메타의 프리미엄급 MR... ","Mon, 26 Aug 2024 04:33:00 +0900",
애플,"메타, 쫄딱 망한 애플 비전 프로 반면교사?... 프리미엄 XR 헤드셋 개발...",https://kr.aving.net/news/articleView.html?idxno=1793178,"메타플랫폼(이하, 메타)이 올해 2월 애플이 출시한 공간형 컴퓨팅 디바이스 '비전 프로(Vision Pro)'에 맞불을... 오는 2027년 출시를 목표에 뒀던 해당 디바이스는 애플의 비전 프로에 상응하는 성능과 사용 경험을 제공할... ","Mon, 26 Aug 2024 11:16:00 +0900","메타플랫폼의 최신 XR(확장현실) 디바이스 '메타 퀘스트 3(Meta Quest 3)' 모습. | 출처 - 메타플랫폼
메타플랫폼(이하, 메타)이 올해 2월 애플이 출시한 공간형 컴퓨팅 디바이스 ‘비전 프로(Vision Pro)’에 맞불을 놓기 위해 개발 중인 것으로 알려졌던 하이엔드 XR(확장현실) 헤드셋의 개발을 전면 중단했다는 소식이 전해졌다.
23일(현지 시각) 해외 IT 매체 디인포메이션 보도에 따르면, 마크 저커버그 메타 최고경영자(CEO)는 최근 자사에서 개발한 신형 XR 디바이스와 관련한 회의에서 제품 개발을 중단할 것을 주문했다.
메타는 현행 HMD이자 XR 헤드셋인 메타 퀘스트 3의 후속 모델을 개발 중인 것으로 알려졌다. 또, 업계에선 메타가 이보다 한층 진보한 하드웨어 제원을 갖춘 프리미엄 모델도 동시에 개발 중이었다는 소식이 돌기도 했다. 오는 2027년 출시를 목표에 뒀던 해당 디바이스는 애플의 비전 프로에 상응하는 성능과 사용 경험을 제공할 기기로 기대를 모았다.
그러나 저커버그 CEO는 프리미엄 XR 헤드셋에 대한 시장의 반응이 기대에 못 미칠 것이라는 판단 아래 개발 중단을 결정한 것으로 보인다.
현재 메타 퀘스트 3는 미국에서 500달러의 출고 가격으로 판매되고 있는데, 이처럼 비교적 저렴한 가격으로도 대중적인 인기는 아직 얻지 못하고 있다. 이러한 상황에서 2배가량 높은 가격의 신제품이 기대에 부응하는 경쟁력을 발휘할 가능성은 미미하다는 판단을 내린 것이다.
애플의 XR 시장 출사표 격인 비전 프로의 판매 부진도 메타의 개발 중단에 영향을 미쳤을 가능성이 크다. 시장조사업체 IDC에 따르면, 지난 2월 미국에서 판매를 시작한 비전 프로는 분기당 10만 대에도 미치지 못하는 판매량을 기록한 것으로 조사됐다. 특히, 올 3분기 판매량은 직전 분기보다 75% 이상 급감해 2만~3만 대가량에 그친 것으로 관측된다.
지난달 관련 소식을 전한 블룸버그통신은 3,500달러에 달하는 높은 가격과 ‘킬러 서비스’의 부재를 비전 프로 판매 부진의 원인으로 지목했다. 또한, 애플 단독으로 당장 해결할 수 없는 콘텐츠의 부실함은 올해 하반기에 시작되는 미국 외 지역(중국·일본·프랑스 등) 판매에도 부정적인 영향을 미칠 것으로 분석된다.
애플의 사례를 반면교사로 삼은 메타는 고가의 하드웨어 개발에 집중하는 대신, 소프트웨어를 통한 저변 확장에 집중할 것으로 보인다. 메타는 올해 초 자사 기기 전용 운영체제였던 메타 호라이즌 OS를 오픈소스화하고, 타사 VR(가상현실) 및 AR(증강현실) 제품에도 호환성을 확보하겠다는 전략을 공표한 바 있다.
이로써 메타는 자체 앱 장터인 호라이즌 스토어에 대한 소비자와 개발자의 접근성을 강화하고, XR 시장 전반에 균일한 소프트웨어 경험을 제공하겠다는 방침이다. 이는 곧 매년 가파른 성장세가 관측되는 XR 시장에서 자사의 영향력을 키우는 동시에, 후발주자인 애플보다 확고한 점유율과 입지를 다질 수 있는 배경으로 작용할 전망이다.
한편, 애플은 앞서 비전 프로의 연간 판매량 목표를 50만 대 수준으로 잡았으나, 현재와 같은 추세로는 이렇듯 보수적인 목표치도 달성하기 어려울 것이라는 예측이 지배적이다. 이에 애플은 당초 계획했던 비전 프로 2세대의 개발을 중단하고, 아이폰 제품군과 비슷한 가격대의 저가형 모델을 만드는 데 집중하고 있는 것으로 알려졌다."
