Category,Title,Original Link,Description,Publication Date,Content
탕후루,"'젠틀맨스 가이드' 정문성 ""마라탕후루 애드리브 어떻게 탄생했냐고요?"" [인터...",https://www.hankyung.com/article/202408189393H,배우 정문성이 뮤지컬 '젠틀맨스 가이드'에서 화제의 챌린지 '마라탕후루' 애드리브를 하게 된 배경을... 특히 정문성은 레이디 살로메를 연기하면서 '마라탕후루' 대사를 애드리브로 넣어 화제가 됐다. 이와 관련해 묻자... ,"Mon, 19 Aug 2024 08:01:00 +0900","뮤지컬 '젠틀맨스 가이드' 정문성 /사진=쇼노트 제공배우 정문성이 뮤지컬 '젠틀맨스 가이드'에서 화제의 챌린지 '마라탕후루' 애드리브를 하게 된 배경을 설명했다.정문성은 최근 서울 강남구 모처에서 한경닷컴과 만나 '젠틀맨스 가이드'와 관련한 다양한 이야기를 나눴다.'젠틀맨스 가이드'는 1900년대 초반 영국 런던을 배경으로 가난한 청년 몬티 나바로가 어느 날 자신이 고귀한 '다이스퀴스' 가문의 여덟 번째 후계자라는 사실을 알게 된 후, 가문의 백작 자리에 오르기 위해 자신보다 서열이 높은 후계자들을 한 명씩 제거하는 과정을 그린 작품이다.극 중 정문성은 다이스퀴스 가문의 후계자 9명을 연기한다. 은행장 애스퀴스 다이스퀴스 1세부터 성직자 에제키엘 목사, 시골의 대지주 헨리, 자선사업가 레이드 히아신스, 멋쟁이 애스퀴스 다이스퀴스 2세, 보디빌더 바르톨로매오, 하이허스트의 여덟 번째 백작 애덜버트 경, 배우 레이디 살로메, 청소부 천시까지 쉴 새 없이 변신한다. 단 15초 만에 의상, 가발, 분장 등을 바꾸는 '퀵 체인지'를 통해 겹치는 구석이 없이 각 배역을 완벽하게 표현해낸다.정문성은 가장 애정이 가는 캐릭터로 백작 애덜버트 경을 꼽았다. 그 이유에 대해 ""시작과 끝을 장식하는 중요한 캐릭터고 9명 중 가장 진지하다. 다른 역할은 무겁지 않게 표현해야 하는 숙제가 있는데 이 역할은 비교적 자기 무게를 가지고 해도 된다. '저 사람이 왜 저럴까?'라는 고민을 관객한테도 갖게 하고 나 스스로도 갖고 연기하려고 한다. 사무대에서 관계가 중요하다고 생각하는데 인물과의 관계가 많은 캐릭터이지 않냐. 그래서 더 애착이 간다""고 밝혔다.가장 재미있는 캐릭터는 시골의 대지주이자 양봉업자인 헨리라고 했다. 정문성은 ""사실 다른 쪽으로 생각한 헨리의 모습도 있었다. 콘셉트를 바꿔보고 싶었는데 너무 큰 작업이 될 것 같아서 손을 못 댔다""면서 ""급하게 치고 빠지는 역할이 많은 와중에 헨리는 짧지 않은 씬에 등장하는 인물이다. 총 두 개의 씬에 등장하는데 그걸 설계해서 캐릭터를 만들어서 연기할 수 있다는 게 재밌었다""고 이유를 설명했다.제일 부담됐던 건 자기 멋대로 연기하는 '똥배우' 레이디 살로메였다고. 정문성은 ""사실 대본이 되게 짧다. 몇 줄하고 퇴장하는데 거기서 자유롭게 연기할 수 있는 시간을 줬다. 마음대로 해도 된다는 게 엄청난 부담이었다. 이제는 그 자유를 누리고 있지만 처음엔 가장 부담스러웠다. 지금은 재밌게 하고 있다""며 웃었다.특히 정문성은 레이디 살로메를 연기하면서 '마라탕후루' 대사를 애드리브로 넣어 화제가 됐다.이와 관련해 묻자 ""차량으로 이동하는 시간이 많지 않냐. 원래는 강아지, 동물 등의 영상을 보다가 점점 재밌는 걸 보게 됐다. 유튜브 숏츠를 계속 넘기면서 보다 보니까 내 취향을 벗어난 모든 걸 보게 되더라. 한 사람이 한 게 아니라 여러 사람이 하는, 소위 '유행하는 것'들을 많이 보게 됐다. '뒤에 깔리는 음악이 왜 다 똑같지?'라고 생각했다가 '아, 이게 유행이구나'라고 깨닫게 됐다""고 말했다.그렇게 '마라탕후루' 챌린지까지 접하게 됐다는 정문성은 ""총을 '탕탕' 쏘는데 순간 이 음악이 귀를 스쳐 지나갔다""고 전했다.그는 ""'젠틀맨스 가이드'에 나오는 다이스퀴스들은 뭔가 나쁜 게 하나씩 있다. 레이디 살로메는 동료 배우들, 관객, 작가, 연출이 있는데도 자기가 대본을 바꾸고 다 쏴 죽이는 식의 연기를 한다. 그래서 그의 죽음이 그렇게 슬퍼할 일은 아니라는 식의 전제가 있다. 전 시즌에는 정말 아무거나 막 뱉었다. 그러다 보니 이 공연은 약속이 엄청 많은 공연인데 그걸 지키기가 힘들더라. 맥락 없이 약속된 대사를 하기엔 무리가 있어서 짧고 재밌는 상황을 상상해보기로 했던 것""이라고 설명했다.그러면서 ""'마라탕후루'가 딱 그 상황에 맞는 것 같아서 한 번 해보기로 했다. 말도 되고, 관객분들이 재밌어하는 것 같더라""고 덧붙였다.정문성은 ""나중에 또 다른 어떤 게 머릿속을 스치게 되면 그걸 할 것""이라면서 ""그런 게 갑자기 머리를 스쳐 갈 때가 있다. 특히나 차 안에서 그런 생각을 많이 한다""며 웃었다.([인터뷰②]에서 계속)김수영 한경닷컴 기자 swimmingk@hankyung.com"
탕후루,"""폐업 가능성만 높이는 '무조건 창업'은 그만""...핀다, AI상권분석으로 창업성...",http://www.fnnews.com/news/202408190930503134,"따르면 탕후루, 흑당 버블티 등 최근 몇 년 간 큰 인기를 끌었던 주요 디저트 프랜차이즈들을 분석한 결과 평균 전성기가 2년을 넘지 못한 것으로 나타났다. 특히 최근까지도 인기를 끌었던 탕후루 업계의 경우 올해 2... ","Mon, 19 Aug 2024 10:04:00 +0900","지난해 외식업체 폐업률 21.5%, 코로나 시기 2배 육박‘탕후루 열풍’처럼 무분별한 창업 행태 원인으로 꼽혀AI 상권분석 플랫폼 오픈업, 서비스 무료로 개방해정보 비대칭 해소사용자 만족도 94%에 달해핀다 제공[파이낸셜뉴스] 무분별한 창업으로 자영업자들이 폐업률이 역대 최고 수준을 기록한 가운데, 한 편에서는 ‘묻지마 창업’을 막는 상권분석 서비스가 각광받고 있는 것으로 나타났다.핀테크 기업 핀다의 인공지능(AI) 상권분석 플랫폼 ‘오픈업’에 따르면 지난해 외식업체 81만8867곳 중 폐업한 업체는 17만6258곳으로 폐업률이 21.5%에 달했다. 이는 코로나19(신종 코로나바이러스 감염증) 유행기였던 2020~2022년 평균치(15.03%)와 비교했을 때도 6%포인트 이상 높은 수치로, 폐업한 외식업체 수도 코로나19가 가장 극심했던 2020년(9만6530개) 대비 약 82.6% 급증한 수준이다.코로나 시기보다도 폐업률이 증가한 배경에는 전반적인 경제 침체와 고물가로 소비 지출이 줄어든 영향도 있지만, 반짝 유행하는 디저트 프랜차이즈 열풍을 보고 무턱대고 창업에 뛰어드는 행태도 원인으로 주목받고 있다.핀다의 AI 상권분석 플랫폼 ‘오픈업’에 따르면 탕후루, 흑당 버블티 등 최근 몇 년 간 큰 인기를 끌었던 주요 디저트 프랜차이즈들을 분석한 결과 평균 전성기가 2년을 넘지 못한 것으로 나타났다.특히 최근까지도 인기를 끌었던 탕후루 업계의 경우 올해 2·4분기 매출이 전년 동기(약 654억 원) 대비 72%가량 급감한 것으로 확인됐다.2022년 2·4분기 매출이 12억 원에 불과했던 점을 감안하면 1년 동안 폭발적으로 거세진 탕후루 열풍이 이후 1년 만에 급속도로 식고 있는 것으로 분석된다.이처럼 이렇다 할 준비 없이 ‘묻지마 창업’을 했다가 어려움을 겪는 자영업자들과 예비 창업자들을 위해 합리적인 창업 의사결정을 도와주는 상권 분석 서비스가 떠오르고 있다.핀다가 2022년 7월 인수한 AI 상권분석 플랫폼 ‘오픈업’은 매월 70만 개의 전국 상권 매출 및 주변 인구통계 데이터를 꾸준히 쌓으며 누적 1억3000만개 이상의 상권 빅데이터를 보유하고 있다. 핀다와 오픈업은 ‘시장에 만연한 정보불균형 문제를 해결한다’는 미션을 실현하기 위해 의기투합하며 지난해 11월부터 무료로 서비스를 오픈한 바 있다.오픈업의 매출 데이터는 전국 300만여개의 사업장에서 매월 발생하는 매출 정보와 주변 거주·유동 인구 등의 빅데이터를 카드사, 통신사, 행정안전부, 국토교통부, 국세청 등으로부터 받아 이를 AI로 가공하고 학습시켜 정확도 높은 범위의 값으로 제공하는 형태다.매장 운영 및 창업에 필요한 상권과 매출 데이터를 자유롭게 확인하게 된 사용자들은 높은 만족도를 보였다. 핀다가 오픈업 서비스 무료 공개 1년을 기점으로 지난해 12월부터 약 1개월 동안 개인사업자와 예비창업자 등 오픈업 사용자 1,200여 명을 대상으로 설문조사를 실시한 결과, 응답자의 94%가 상권 분석 데이터에 만족하고 있다고 답했다.핀다가 오픈업을 통해 사업장의 추정 매출을 무료로 공개하는 것에 대해서는 응답자의 80%가 ‘상권 추이를 분석할 수 있는 정보여서 좋다’고 응답했다. 오픈업의 매출 데이터가 현명한 매장 운영을 돕고 있다는 사실이 증명된 것이다.황창희 핀다 오픈업 총괄은 “오랜 기간 성공적인 창업을 할 수 있는 방법 중 가장 중요한 것은 입지 선정”이라며, “깜깜이 시장인 창업 시장의 정보 비대칭성을 해소하고, 실패하지 않는 창업을 돕는 서비스로 자리매김해 무분별한 창업을 막고 폐업률을 낮추는 것이 목표”라고 말했다.한편 핀다는 오픈업 사이트에서 사업장의 사업주임을 확인하는 간단한 절차만 거치면 즉시 자신의 사업장 정보가 비공개되는 프로세스를 구축해 운영하고 있다. 또한 비공개 기간을 연장하고 싶다면 카카오톡 플러스친구 푸시 메시지의 ‘비공개 연장 신청’ 버튼만 누르면 손쉽게 연장할 수 있다.단, 나의 사업장을 비공개할 경우에는 다른 사업장의 정보 역시 볼 수 없다.yesji@fnnews.com 김예지 기자※  저작권자 ⓒ 파이낸셜뉴스, 무단전재-재배포 금지"
탕후루,[기사수첩] MZ에 거는 기대,https://www.todayenergy.kr/news/articleView.html?idxno=273745,대한민국은 한때 탕후루 열풍이 불었다. 각종 생과일에 설탕 옷을 입혀 시원하게 만들어 낸 제품이었다. 대학가에선 두 집 건너한 집은 탕후루 가게라는 말이 나올 정도로 인기를 끌었다. 하지만 뜨겁게 달아올랐던 탕후루... ,"Mon, 19 Aug 2024 04:34:00 +0900",FAIL
탕후루,잘파세대가 온다…소비 특징은 '추구미',https://www.the-pr.co.kr/news/articleView.html?idxno=51964,"최근 국내 숏폼을 중심으로 '마라탕후루' 챌린지가 빠른 속도로 확산되었다. 이 챌린지는 마라탕과 탕후루를 이용한 노래에 춤을 추는 숏폼 영상으로, 콘텐츠에 사용된 배경음악은 틱톡 뮤직 1위를 차지하며 1000만 뷰가... ","Mon, 19 Aug 2024 08:00:00 +0900",FAIL
탕후루,"""묻지마 창업 그만""…핀다 '오픈업', AI 상권분석 각광",https://www.ngetnews.com/news/articleView.html?idxno=510768,"따르면 탕후루, 흑당 버블티 등 최근 몇 년 간 큰 인기를 끌었던 주요 디저트 프랜차이즈 분한 결과 평균 전성기가 2년을 넘지 못한 것으로 나타났다. 특히 최근까지도 인기를 끌었던 탕후루 업계의 경우 올해 2분기... ","Mon, 19 Aug 2024 10:40:00 +0900","매체정보서울특별시 중구 서소문로 38  (센트럴타워) 610호대표전화 : 02-393-9400팩스 : 02-393-4242청소년보호책임자 : 이재우법인명 : (주)이도문화제호 : 뉴스저널리즘등록번호 : 경기,아53038등록일 : 2018-01-03발행일 : 2018-01-03발행·편집인 : 원경민뉴스저널리즘 모든 콘텐츠(영상,기사, 사진)는 저작권법의 보호를 받은바, 무단 전재와 복사, 배포 등을 금합니다.「열린보도원칙」 당 매체는 독자와 취재원 등 뉴스이용자의 권리 보장을 위해 반론이나 정정보도, 추후보도를 요청할 수 있는 창구를 열어두고 있음을 알려드립니다.고충처리인 이재우  02-393-9400  75ljw@ngetnews.comCopyright © 2024 뉴스저널리즘.Allrights reserved. mail to75ljw@ngetnews.com"
탕후루,[음식의 미래]마라탕·탕후루가 떡볶이에 큰절하는 까닭,https://www.khan.co.kr/opinion/column/article/202408152032025,"올해 초 들불 같던 탕후루 인기가 시들해지자 두바이 초콜릿이 떴다. 그러나 요즘에는 그릭 요거트가... 구글트렌드로 최근 5년간 SNS에서 핫했던 음식인 마라탕, 탕후루, 두바이 초콜릿, 그릭 요거트 등 4개의 검색량을... ","Thu, 15 Aug 2024 20:35:00 +0900","우리나라 소비자는 까다롭다. 유행에 민감하며 이를 사회관계망서비스(SNS)로 전파하는 데 세계 최고 수준이다. 우리나라는 전 국민 10명 가운데 9명이 무선 인터넷을 사용하는 와이파이와 SNS 강국이다. 대한민국이 패션, 영화, 자동차, 정보기술(IT) 제품의 유행을 미리 점검하는 세계적 테스트베드로 떠오른 까닭이다. 음식도 예외가 아니다.그런데 음식은 수천년간 지역의 기후와 식생에 최적화된, 집단지성이 선택한 결과물이다. 어떤 지역은 밀로, 어떤 지역은 쌀로 탄수화물을 얻고 어떤 지역은 치즈로, 어떤 지역은 발효 생선으로 단백질을 얻는다. 그래서 음식은 나와 타자를 구분하는 가장 강력한 수단이자 공동체 문화의 정수로 불린다. 또 오랜 테스트를 거친 안전한 먹거리라는 의미도 있다.그러나 우리나라 음식 유행 주기는 지나치게 짧다. 올해 초 들불 같던 탕후루 인기가 시들해지자 두바이 초콜릿이 떴다. 그러나 요즘에는 그릭 요거트가 유행이다. 그사이 땅콩버터, 마이크로 케이크처럼 조용히 사라진 유행도 있다. 변화무쌍한 유행 속에서 살아남는 음식은 어떤 특성이 있을까?구글트렌드로 최근 5년간 SNS에서 핫했던 음식인 마라탕, 탕후루, 두바이 초콜릿, 그릭 요거트 등 4개의 검색량을 비교해봤다. 두바이 초콜릿과 그릭 요거트는 최근 몇달 새 검색량이 급증했다. 반면 탕후루는 검색량이 올해 초부터 미미했다. 마라탕은 달랐다. 5년간 검색량이 꾸준했다. 오히려 시간이 지날수록 늘었다(물론 영원한 국민간식인 떡볶이에 견주면 절반 수준에도 이르지 못한다).마라탕은 탕후루처럼 한때의 반짝 트렌드가 아니라 한국화에 성공했다는 의미로 볼 수 있다. 실제 우리나라 마라탕은 중국과 달리 국물까지 마실 수 있게 향신료 비중을 낮추고 소고기 기름을 적게 쓴다. 이미 마라 맛을 강조한 라면에서부터 치킨까지 다양한 음식으로 진화 중이다. 마라탕은 SNS 광풍에도 생존한 음식 트렌드의 본질을 보여준다. 한식화다.음식의 미래구독구독중파스타에 한식의 길을 묻다완숙 토마토 여름식탁의 뉴노멀, ‘금값’ 농수산물실제 유행에 민감한 MZ세대도 ‘알고 보면 한식파’라는 연구결과가 있다. 2023년 5월 ‘한국식품영양과학회지’에 실린 ‘20~30대의 SNS 활용 식품소비행태’ 논문에선 SNS 활용도에 따라 젊은층을 고·중·저층 3개 층으로 나눠 이들의 식당 이용 성향을 분석했다. 그 결과 각각 54.3~74.4%가 “한식과 한식 고기류를 즐긴다”고 답했다. 외식 장소를 고를 때 가장 중요시하는 것은 모든 집단의 50%가량이 ‘맛’이라고 했다. 반면 ‘분위기’는 10%대에 그쳤다.최근 고물가에 경기침체로 과시용 ‘플렉스’를 추구하던 젊은층의 소비 패턴도 꼭 필요한 것에만 지갑을 여는 ‘요노(YONO·You Only Need One)’로 바뀌었다. 초밥과 파스타 등에서 10만원이 넘는 고가의 ‘오마카세’(주방 특선 요리)를 즐기던 젊은층이 짠물소비를 하기 시작했다는 뜻이다. 이런 트렌드의 변곡점인 올해 하반기에는 어떤 음식이 인기를 얻을까? SNS에 올릴 만한 ‘괴랄’한 음식이기보다는 수수하고 건강한 집밥 같은 음식이 유행하기를 바라본다.권은중 음식 칼럼니스트음식의 미래"
탕후루,"""묻지마 창업 그만""...핀다, AI 상권분석으로 창업 의사결정 돕는다",https://www.fetv.co.kr/news/article.html?no=172676,"오픈업에 따르면 탕후루, 흑당 버블티 등 최근 몇 년 간 큰 인기를 끌었던 주요 디저트 프랜차이즈들을 분석한 결과 평균 전성기가 2년을 넘지 못한 것으로 나타났다. 특히 최근까지도 인기를 끌었던 탕후루 업계의... ","Mon, 19 Aug 2024 09:38:00 +0900","신문사소개찾아오시는 길개인정보취급방침청소년보호정책 (책임자 : 김대종)이메일 무단수집거부문의하기제호: FETV | 명칭: ㈜뉴스컴퍼니 | 등록및발행일: 2011.03.22 | 등록번호: 서울,아01559 | 발행인·편집인: 김대종 | 편집국장: 정해균주소: 서울특별시 영등포구 국회대로 66길 23, 901호(여의도동,산정빌딩) | 전화: 02-2070-8316  | 팩스: 02-2070-8318Copyright @FETV. All right reserved.FETV의 모든 컨텐츠는 저작권법의 보호를 받으며, 무단 복제 및 복사 배포를 금지합니다.UPDATE: 2024년 08월 19일 16시 58분"
탕후루,"[조이人]② '젠틀맨스 가이드' 정문성 ""똥배우와 '마라탕후루' 접목""",http://www.joynews24.com/view/1753782,"특히 정문성은 똥배우 살로메를 연기하며 '마라탕후루'를 접목해 관객들에게 큰 웃음을 선사한다. 그는 ""극중... 된 '마라탕후루' 생각이 났다. 무대에서 직접 해보자는 생각에 도전하게 됐다""고 연기에 숏츠 콘텐츠를... ","Fri, 16 Aug 2024 17:22:00 +0900",FAIL
탕후루,딸아이의 성조숙증이 걱정된다면,https://shindonga.donga.com/3/all/13/5100028/1,"탕후루의 비극 한국 여아의 초경 평균연령은 12.8세다. 1990년 말만 해도 13.12세였다. 다른 나라는 어떨까.... 그래서 유년기에서 급성장기 전의 여자아이는 탕후루나 초콜릿, 햄버거, 피자 같은 고칼로리 패스트푸드를... ","Fri, 16 Aug 2024 09:01:00 +0900","탕후루처럼 달고 열량이 높은 음식은 성조숙증을 유발할 수 있다. [Gettyimage]옆집 아주머니가 사색이 된 얼굴로 내게 달려왔다. 초등학교 3학년밖에 안 된 딸이 초경(첫 월경)이 나왔다며 세상이 무너진 듯한 표정을 지었다. ‘성조숙증은 아닌지’ ‘이렇게 빨리 초경을 하면 키가 안 자라는 것은 아닌지’ 그녀에게서 걱정스러운 질문이 쏟아졌다.‌옆집 아이를 불러 조심스레 ‘생리혈이 나온 것이 이번이 처음인지’ ‘가슴이 봉긋 솟아올랐는지’ 등을 물어봤다. 얘기를 들어보니 질강이 아닌 요도 쪽에서 피가 나오는 것 같아 소변검사부터 해보자고 했다.‌일반적으로 초등학교 저학년 여아에게서 생리혈과 같은 질 출혈이 나타나는 경우 초경일 수도 있지만 일과성 출혈일 가능성도 있다. 젖 봉오리가 생겼거나 유두가 커졌는지, 치모(恥毛)가 생겼는지, 있다면 어느 정도인지를 알아보는 것이 우선돼야 한다. 아이에서 어른이 되는 과정, 다시 말해 성호르몬 분비가 활발해지면서 신체적으로 변화(치모, 가슴멍울 등)하는 2차 성징이 나타난 후 초경을 해야 순서가 맞다.‌어린아이가 준비되지 않은 상태에서 초경을 맞게 되면 혼란이 생길 뿐 아니라 정서적으로 불안해질 수 있다. 엄마 역시 너무 빠른 신체 발달(성조숙증)로 인해 제대로 성장하지 못할까 봐 조바심을 갖게 된다.탕후루의 비극한국 여아의 초경 평균연령은 12.8세다. 1990년 말만 해도 13.12세였다. 다른 나라는 어떨까. 영국은 13.6세로 50년간(1940~1994) 4개월이 앞당겨졌다는 통계가 있다. 미국은 12.43세로, 백인 여아(12.6세)보다 흑인 여아(12.2세)가 조금 더 이른 것으로 나타났다. 최근 통계에 따르면 전 세계적으로 초경 연령이 100년 전에 비해 최대 4년 정도 앞당겨져 11.9세라고 한다.‌초경 연령이 앞당겨지는 가장 큰 원인은 영양 과잉과 불균형에 있다고 본다. 초등학교 저학년일 때 당과 지방을 필요 이상으로 많이 섭취하면 체지방 비율이 높아져서 과체중이나 소아 비만으로 이어진다. 그렇게 되면 지방층에서 여성호르몬이 생기면서 유방이 발달하고 성선자극호르몬(성호르몬 분비를 촉진하는 호르몬)이나 성선호르몬 분비량이 증가해 사춘기가 일찍 오게 된다. 그래서 유년기에서 급성장기 전의 여자아이는 탕후루나 초콜릿, 햄버거, 피자 같은 고칼로리 패스트푸드를 피하고 채소와 단백질이 풍부한 식품을 곁들인 균형 잡힌 식사를 해야 한다.‌또 다른 원인으로는 성인 포르노물, 성인 오락물에 노출된 경우다. 이 정도는 아니어도 스마트폰이나 TV에서 쏟아지는 드라마나 노래, 춤, 여흥 프로그램이 여아들의 오감을 자극한다. K-팝을 예로 들어보자. 여성 아이돌이 세계 젊은이들에게 엄청난 감동을 선사한다. 최근 일본 도쿄돔에서 공연한 아이돌 뉴진스가 40대 일본 남성들에게까지 큰 감동을 안겨줬다고 한다. 아이돌이 보여주는 노래, 율동, 옷차림, 화장, 퍼포먼스가 전 세계적으로 이처럼 인기몰이를 하고 있으니 요즘 아이들이 어찌 열망하듯 따라 하지 않을 수 있겠는가. 이런 문화적 자극이 여아들의 신체 발달을 점점 더 빨라지게 만드는 것이다.‌미 애틀랜타 에모리대가 최근 발표한 연구 결과에 따르면 태아기나 유년기에 초미세먼지(PM2.5)와 미세먼지(PM10)에 다량 노출된 경우 초경 연령이 앞당겨질 수 있다고 추정했다. 유해한 환경 화학물질이 신체에 침투해 광범위한 호르몬 변화를 유발하고, 성조숙증에 영향을 미칠 수 있다는 것이다.유해 환경도 원인어린 나이에 제2차 성징이 나타나는 성조숙증은 키가 충분히 자라지 못하게 만든다. [Gettyimage]초경이 빨라지는 병적 증상을 ‘성조숙증’이라 한다. 성조숙증은 2차 성징이 8세 이전에 나타나는 질환이다. 너무 어린 나이에 난소에서 난포가 자라 어른 젖가슴처럼 되거나 어른처럼 치모가 수북하게 자라고, 배란이 일어나서 월경을 하는 아이들을 일컫는다.‌급성장기를 빨리 맞이하는 것은 결코 좋은 일이 아니다. 성조숙증의 가장 큰 걱정은 성인 여성의 생리 양에 육박할 정도의 월경을 규칙적으로(월 1회)하게 되면서 성장판이 닫혀 키가 더는 자라지 않을 수 있다는 것이다. 실제로 급성장기(가슴 멍울~초경 시작까지 2년간)에 1년에 7~8cm, 2~3년간 20cm 내외로 자란다는 점을 감안하면 너무 어린 나이에 급성장기가 와서 성장판이 일찍 닫히는 것은 여간 걱정스러운 일이 아니다.‌그렇다면 성조숙증은 어떻게 치료해야 할까. 성조숙증으로 진단된 여아에게 성선자극분비 호르몬 유사체(GnRH 아날로그)라는 약제를 쓴다. 쉽게 말해 ‘월경 일시 멈춤 치료’라고 보면 된다. 이를 통해 2차 성징의 진전 속도를 다소 누그러뜨릴 수 있다.‌또한 성조숙증이면서 나이에 비해 성장곡선이 평균 이하를 보인다면 성장판이 닫히기 전 성장호르몬을 같이 투여해 키가 좀 더 클 수 있도록 도와줄 수 있다. 따라서 월경이 시작됐는데 키가 너무 작다면 소아청소년과를 찾아 전문의에게 상담을 받아볼 필요가 있다. 초등학교 저학년 자녀가 성조숙증 확진을 받더라도 인내심을 가지고 아이를 관찰하면서 치료받으면 된다. 무관심도 조바심도 아닌, 인내심으로 지혜롭게 대처하면 되는 것이다.조바심 아닌 인내심 필요한국에 귀화한 호사카 유지 교수는 일본 사람이 키가 작은 이유를 “학동기(7~12세) 잦은 소식(小食)이 야기한 영양소 부족”으로 설명했다. 어린아이는 보통 오후 3시경에 하교하는데, 간식으로 카스텔라나 달달한 쿠키, 만쥬, 슈크림을 간식으로 먹으면 이로 인해 식욕이 떨어져 저녁을 먹지 않거나 소식(小食)을 하게 되고, 급성장기에 영양이 제대로 공급되지 않아 키가 크지 못한다는 것이다.‌반면, 재일교포 학생의 신장이 일본 학생에 비해 큰 것은 “같은 시기 달달한 음식이 아닌 옥수수·고구마를 먹고, 식사량이 많았기 때문”이라고 했다. 즉 학동기 아이에게 단백질이 풍부한 균형 잡힌 식사를 하게 하는 것은 엄마의 중요한 임무임을 간과해서는 안 된다.‌여성 몸의 생식 시스템은 시상하부-뇌하수체-난소-자궁으로 연결된 무선통신 체제(HPO·생식축)다. 즉 호르몬이라는 전파가 뇌에서 난소, 자궁으로 연결된다. 따라서 항상 마음에 두고 실천하려고 노력하는 진료 원칙이 여성의 생식 시스템이 원활하게 작동해 생식 기능을 할 수 있게 하는 것이다. 세상에 어떤 것도 저절로 되는 것은 없다. 부모는 아이가 소녀(소년)로, 여인(남성)으로 건강하게 성장할 수 있게 생활 습관, 섭생, 체중 관리에 신경 써야 한다.조정현‌● 연세대 의대 졸업● 영동제일병원 부원장. 미즈메디 강남 원장. 강남차병원 산부인과 교수● 대한산부인과의사회 부회장● 現 사랑아이여성의원 원장"
탕후루,"존박 ""노래 아무리 잘 불러도 '마라탕후루' 못이겨, 찍으며 현타 왔다""(비보)",http://biz.heraldcorp.com/view.php?ud=202408131824544339674_1,"결국엔 '마라탕후루' 이런 게 조회수가 많이 나온다""라고 토로했다. 송은이가 존박이 부른 'Nothing'이 좋았다고 하자 ""제가 되게 좋아하는 영상인데 탕후루를 이길 수가 없다""며 ""찍으면서 진짜 현타 온다. 비율도 4등신처럼... ","Tue, 13 Aug 2024 18:31:00 +0900","[헤럴드POP=김지혜 기자]가수 존박이 유쾌한 입담을 자랑했다.13일 유튜브 채널 비보티비 측은 '쳐밀도 존박과 한 차로 가'라는 제목으로 영상을 게재했다.어느새 데뷔 14년이 된 존박에게 송은이는 ""사람들이 '네 생각', 'Falling', '쳐밀도'를 떠올릴 것 같다""고 언급했다. 과거 존박은 오디션 '슈퍼스타K2'에서 2AM의 '죽어도 못 보내'를 부르다 '밀쳐도' 부분을 '쳐밀도'라고 부르는 실수를 한 바 있다.송은이는 ""기억난다. 속으로 '어머' 그랬다. 사실 승희부터 긴장해 가사 잊어버리고 도미노처럼 온 거잖냐""고 떠올렸고, 존박은 ""그래서 승희 보면 우리가 그래도 용 됐다고 한다. 참 다행이다, 잘 풀려서. 동지애 같은 게 느껴진다""라고 회상했다.또 송은이는 ""언제 쥐도 새도 모르게 결혼을 했냐""고 물었다. 존박은 ""조용히 하려고 한 건 아닌데 그냥 평범하게 했다. 아내도 연예인이 아니다 보니까""라고 말했다. 축가는 이적이 불러줬다며 ""유부남 형 중에서는 적이 형이 제일 친하고 옆에서 조언도 해줬다""고 말했다.기억에 남는 조언에 대해선 ""아이를 가질 거면 빨리 가져라""를 꼽았다. 존박은 ""다행히 저희도 결혼하고 1년 만에 아이가 생겨서 지금 9개월 됐다. 조그맣다. 이제 기어다니려고 시동을 걸고 있다""고 흐뭇하게 말했다.""음악하는 아빠들은 동요도 만들어볼까 한다고 한다""는 송은이의 말에 존박은 ""앨범으로 내기보다 유튜브로 몇 개 불러서 올리면 좋을 것 같다. 아기를 재우는 영상이라든지""라고 전해 눈길을 끌었다.그런가 하면 존박은 유튜브 채널 '존이냐박이냐'를 소개하며 ""음악과 영어를 대부분 다루는데 요즘 유행하는 챌린지를 존박 식으로 하는 쇼츠가 유행이다""라며 ""제가 아무리 각 잡고 노래를 잘 불러놔도 결국엔 '마라탕후루' 이런 게 조회수가 많이 나온다""라고 토로했다.송은이가 존박이 부른 'Nothing'이 좋았다고 하자 ""제가 되게 좋아하는 영상인데 탕후루를 이길 수가 없다""며 ""찍으면서 진짜 현타 온다. 비율도 4등신처럼 찍고 스탭들 다 있는데 저 혼자 올라가서 탕후루를 추는데 현타가 너무 세게 오더라""고 털어놨다.popnews@heraldcorp.com"
